"study","dataset","variable","label","label_de","concept","questionnaire","question","item","description","description_de"
"twinlife","ZA6701_person_v3-0-0","aas0400t","extracurricular activities twin 1: clubs","Ausserschulische Aktivitaeten Z1: AGs",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",4,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0400u","extracurricular activities twin 2: clubs","Ausserschulische Aktivitaeten Z2: AGs",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",4,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0500s","extracurricular activities sibling: leisure activities","Ausserschulische Aktivitaeten Geschwister: Freizeitangebote",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",5,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0500t","extracurricular activities twin 1: leisure activities","Ausserschulische Aktivitaeten Z1: Freizeitangebote",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",5,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0500u","extracurricular activities twin 2: leisure activities","Ausserschulische Aktivitaeten Z2: Freizeitangebote",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",5,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0600s","extracurricular activities sibling: project days","Ausserschulische Aktivitaeten Geschwister: Projekttage",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",6,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0600t","extracurricular activities twin 1: project days","Ausserschulische Aktivitaeten Z1: Projekttage",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",6,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0600u","extracurricular activities twin 2: project days","Ausserschulische Aktivitaeten Z2: Projekttage",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",6,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0700s","extracurricular activities sibling: long-term projects","Ausserschulische Aktivitaeten Geschwister: Dauerprojekte",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",7,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0700t","extracurricular activities twin 1: long-term projects","Ausserschulische Aktivitaeten Z1: Dauerprojekte",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",7,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0700u","extracurricular activities twin 2: long-term projects","Ausserschulische Aktivitaeten Z2: Dauerprojekte",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",7,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9700s","extracurricular activities sibling: none","Ausserschulische Aktivitaeten Geschwister: Keine",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",8,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9700t","extracurricular activities twin 1: none","Ausserschulische Aktivitaeten Z1: Keine",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",8,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9700u","extracurricular activities twin 2: none","Ausserschulische Aktivitaeten Z2: Keine",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",8,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9800s","extracurricular activities sibling: don't know","Ausserschulische Aktivitaeten Geschwister: Weiss nicht",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",9,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9800t","extracurricular activities twin 1: don't know","Ausserschulische Aktivitaeten Z1: weiss nicht",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",9,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas9800u","extracurricular activities twin 2: don't know","Ausserschulische Aktivitaeten Z2: weiss nicht",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",9,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","acc0100","activities with family member: singing / playing music","Aktivitaeten mit Familienmitglied: Singen oder musizieren",,"twinlife-2014-F2F_Modul4_CASI","acc0100",1,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acc0101","activities with family member: reading or talking about books","Aktivitaeten mit Familienmitglied: Buecher lesen o. darueber unterhalten",,"twinlife-2014-F2F_Modul4_CASI","acc0100",2,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acc0102","activities with family member: sports","Aktivitaeten mit Familienmitglied: Sport",,"twinlife-2014-F2F_Modul4_CASI","acc0100",3,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acc0103","activities with family member: walks, day trips","Aktivitaeten mit Familienmitglied: Spaziergaenge, Ausfluege",,"twinlife-2014-F2F_Modul4_CASI","acc0100",4,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acc0104","activities with family member: theater, museum, exhibition, etc.","Aktivitaeten mit Familienmitglied: Theater, Museum, Ausstellung, u.ae.",,"twinlife-2014-F2F_Modul4_CASI","acc0100",5,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0100s","activities with sibling: singing / making music","Aktivitaeten mit Geschwister: Singen oder musizieren",,"twinlife-2014-F2F_Modul4_CASI","acp0100s",1,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0100t","activities with twin 1: singing / making music","Aktivitaeten mit Zwilling 1: Singen oder musizieren",,"twinlife-2014-F2F_Modul4_CASI","acp0100t",1,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0100u","activities with twin 2: singing / making music","Aktivitaeten mit Zwilling 2: Singen oder musizieren",,"twinlife-2014-F2F_Modul4_CASI","acp0100u",1,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0101s","activities with sibling: reading books or stories","Aktivitaeten mit Geschwister: Buecher oder Geschichten vorlesen",,"twinlife-2014-F2F_Modul4_CASI","acp0100s",2,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0101t","activities with twin 1: reading books or stories","Aktivitaeten mit Zwilling 1: Buecher oder Geschichten vorlesen",,"twinlife-2014-F2F_Modul4_CASI","acp0100t",2,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0101u","activities with twin 2: reading books or stories","Aktivitaeten mit Zwilling 2: Buecher oder Geschichten vorlesen",,"twinlife-2014-F2F_Modul4_CASI","acp0100u",2,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0102s","activities with sibling: sports","Aktivitaeten mit Geschwister: Sport",,"twinlife-2014-F2F_Modul4_CASI","acp0100s",3,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0102t","activities with twin 1: sports","Aktivitaeten mit Zwilling 1: Sport",,"twinlife-2014-F2F_Modul4_CASI","acp0100t",3,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0102u","activities with twin 2: sports","Aktivitaeten mit Zwilling 2: Sport",,"twinlife-2014-F2F_Modul4_CASI","acp0100u",3,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0103s","activities with sibling: playground, walks, day trips","Aktivitaeten mit Geschwister: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,"twinlife-2014-F2F_Modul4_CASI","acp0100s",4,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0103t","activities with twin 1: playground, walks, day trips","Aktivitaeten mit Zwilling 1: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,"twinlife-2014-F2F_Modul4_CASI","acp0100t",4,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","acp0103u","activities with twin 2: playground, walks, day trips","Aktivitaeten mit Zwilling 2: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,"twinlife-2014-F2F_Modul4_CASI","acp0100u",4,"Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Parenting Wave 2 2009/2010. ","Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf"
"twinlife","ZA6701_person_v3-0-0","asc0100","academic self-concept: Are you good at reading?","Akad. Selbstkonzept: Bist du gut im Lesen?",,"twinlife-2014-F2F_Modul3_Basismodul","asc0100",1,"Adapted from: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393.","Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393."
"twinlife","ZA6701_person_v3-0-0","asc0101","academic self-concept: Do you know a lot of letters of the alphabet?","Akad. Selbstkonzept: Kennst du viele Buchstaben vom Alphabet?",,"twinlife-2014-F2F_Modul3_Basismodul","asc0100",2,"Adapted from: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393.","Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393."
