"study","questionnaire","answer_list","value","label","label_de"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",3,"3: partly correct","3: stimmt etwas"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",4,"4: rather correct","4: stimmt eher"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",5,"5: fully correct","5: stimmt genau"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",1,"1: doesn't apply at all","1: trifft gar nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",2,"2: doesn't apply","2: trifft nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",3,"3: nor","3: weder noch"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",4,"4: applies","4: trifft zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_3",5,"5: does apply exactly","5: trifft genau zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",1,"1: doesn't apply at all","1: trifft ueberhaupt nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",2,"2","2"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",3,"3","3"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",4,"4","4"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",5,"5","5"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",6,"6","6"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl7",7,"7: completely applies","7: trifft voll zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",1,"1: full siblings (both parents are the same)","1: Vollgeschwister (beide Elternteile sind gleich)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",2,"2: half sibling (one parent is the same)","2: Halbgeschwister (ein Elternteil ist gleich)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",3,"3: step sibling (no parent is the same)","3: Stiefgeschwister (kein gleicher Elternteil)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bas0600",4,"4: adoptive sibling (no parent is the same)","4: Adoptivgeschwister (kein gleiches Elternteil)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","dia01",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","dia01",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","dia01",9999,"9999: still ill","9999: leide immer noch an der Erkrankung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",1,"1: left school without school-leaving certificate","1: Schule ohne Abschluss verlassen"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",2,"2: primary/lower secondary school-leaving certificate (GDR: grade 8)","2: Volks-/Hauptschulabschluss (DDR: 8. Klasse)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",3,"3: intermediate secondary school-leaving certificate (GDR: grade 10)","3: Realschulabschluss/Mittlere Reife (DDR: 10. Klasse)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",4,"4: university of applied sciences entrance diploma (leaving certificate from a technical school)","4: Fachhochschulreife (Abschluss einer Fachoberschule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",5,"5: Abitur/university entrance diploma","5: Abitur/Hochschulreife"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",6,"6: other school-leaving certificate","6: sonstiger Schulabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",99,"99: I don't have a school degree yet","99: ich habe noch keinen Schulabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",1,"1: no school-leaving certificate, still in school","1: noch keinen, geht noch zur Schule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",2,"2: left school without school-leaving certificate","2: Schule ohne Abschluss verlassen"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",3,"3: primary/lower secondary school-leaving certificate (GDR: grade 8)","3: Volks-/Hauptschulabschluss (DDR: 8. Klasse)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",4,"4: intermediate secondary school-leaving certificate (GDR: grade 10)","4: Realschulabschluss/Mittlere Reife (DDR: 10. Klasse)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100_2",5,"5: Abitur/university entrance diploma/UAS entrance diploma (leaving certificate from a technical school)","5: Abitur/Hochschulreife/Fachhochschulreife (Abschluss einer Fachoberschule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",1,"1: no vocational training or higher educational certificate (yet)","1: (noch) keinen Ausbildungs- oder Studienabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",2,"2: vocational training, vocational school, commercial school","2: Lehre, Facharbeiterabschluss, Berufsschule, Handelsschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",3,"3: schools for healthcare","3: Schule des Gesundheitswesens"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",4,"4: professional school, technical college, e.g., master craftsman's or technician's certificate","4: Fachschule, z.B. Meister-, Technikerabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",5,"5: training for civil servants","5: Beamtenausbildung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",6,"6: university of cooperative education","6: Berufsakademie"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",7,"7: university of applied sciences","7: Fachhochschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",8,"8: university of applied sciences, university of cooperative education","8: Fachhochschule, Berufsakademie"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",9,"9: university, higher educational institution","9: Universitaet, Hochschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",10,"10: PhD","10: Promotion"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",11,"11: other qualification","11: sonstiger Abschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0800",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0800",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0800",1,"1: yes, vocational training certificate","1: ja, beruflichen Ausbildungsabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0800",2,"2: yes, higher educational/university certificate","2: ja, Hochschulabschluss"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0800",3,"3: no","3: nein"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",1,"1: no, I don't go to school yet","1: nein, ich gehe noch nicht in die Schule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",2,"2: yes, I go to school","2: ja, ich gehe in die Schule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",3,"3: no, I don't go to school any more","3: nein, ich gehe nicht mehr in die Schule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",1,"1: general education","1: allgemeinbildende Schule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",2,"2: vocational education","2: berufliche Ausbildung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",3,"3: higher education","3: Hochschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",4,"4: further education","4: Weiterbildung/Umschulung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",1,"1: university of applied sciences","1: Fachhochschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",2,"2: university, other higher educational institution","2: Universitaet, sonstige Hochschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",3,"3: PhD","3: Promotion"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",4,"4: other, such as","4: sonstiges, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",1,"1: vocational re-training","1: berufliche Umschulung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",2,"2: further vocational training","2: berufliche Fortbildung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",3,"3: vocational rehabilitation","3: berufliche Rehabilitation"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",4,"4: general or political further education","4: allgemeine oder politische Weiterbildung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",5,"5: other, such as","5: sonstiges, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",1,"1: year of vocational preparation which is accountable for vocational training","1: Berufsgrundbildungsjahr"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",2,"2: year of vocational preparation which is not accountable for vocational training","2: Berufsvorbereitungsjahr"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",3,"3: vocational schooling without vocational training","3: Berufsschule ohne Lehre"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",4,"4: vocational training","4: Lehre"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",5,"5: full-time vocational school, business school","5: Berufsfachschule, Handelsschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",6,"6: health care school","6: Schule des Gesundheitswesens"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",7,"7: professional school, technical college, e.g., master craftsman's or technician's certificate","7: Fachschule (z. B. Meister-, Technikerschule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",8,"8: training for civil servants","8: Beamtenausbildung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",9,"9: other, such as","9: sonstiges, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",1,"1: primary school","1: Grundschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",2,"2: orientation level for secondary education","2: Orientierungsschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",3,"3: lower secondary school","3: Hauptschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",4,"4: intermediate level secondary school","4: Realschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",5,"5: integrated lower and intermediate level secondary school","5: Verb. Haupt- und Realschule (auch Sekundar-, Regel-, Mittel-, Ober-, Wirtsch.- und erw. Realschule, reg. Schule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",6,"6: comprehensive secondary school","6: Gesamtschule (auch integrierte Schule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",7,"7: Waldorf school (Rudolf Steiner school)","7: Waldorfschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",8,"8: higher secondary school","8: Gymnasium (auch Kolleg)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",9,"9: school for handicaped children","9: Sonderschule/Foerderschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",10,"10: other school, such as","10: andere Schule, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",1,"1: primary school","1: Grundschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",2,"2: orientation level for secondary education","2: Orientierungsschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",3,"3: lower secondary school","3: Hauptschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",4,"4: intermediate level secondary school/integrated lower and intermediate level secondary school","4: Realschul/Verbundene Haupt- und Realschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",5,"5: comprehensive secondary school","5: Gesamtschule (auch integrierte Schule)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",6,"6: higher secondary school","6: Gymnasium (auch Kolleg)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400_2",7,"7: school for handicaped children","7: Sonderschule/Foerderschule"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",1,"1: [only women younger than 50 years] yes, maternity leave","1: [nur bei Frauen juenger als 50 Jahre] ja, Mutterschutz"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",2,"2: yes, parental leave","2: ja, Elternzeit"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",3,"3: leave of absence/special leave for childcare","3: Beurlaubung/Sonderurlaub wegen Kinderbetreuung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",4,"4: no","4: nein"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",1,"1: full-time employment","1: voll erwerbstaetig"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",2,"2: employed on a part-time basis (also with several part-time employments)","2: in Teilzeitbeschaeftigung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",3,"3: in-company training/apprenticeship or vocational retraining","3: in betrieblicher Ausbildung/Lehre oder betrieblicher Umschulung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",4,"4: marginally employed, Mini-jobs, One-Euro-jobs, e.g., when drawing unemployment benefit type 2","4: geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job, z.B. bei Bezug von Arbeitslosengeld 2"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",5,"5: occasionally or irregularly employed","5: gelegentlich oder unregelmaessig beschaeftigt"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",6,"6: voluntary military service","6: freiwilliger Wehrdienst"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",7,"7: voluntary social/ecological year, German federal volunteer service","7: freiwilliges soziales/oekologisches Jahr, Bundesfreiwilligendienst"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",8,"8: partial retirement with zero working hours","8: in Altersteilzeit mit Arbeitszeit Null"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",9,"9: early retirement, retirement, occupational disablity","9: Vorruhestaendler, Rentner, erwerbsunfaehig"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",10,"10: not gainfully employed","10: nicht erwerbstaetig"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",11,"11: other, such as","11: sonstiges, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",1,"1: Blue-collar worker (Arbeiter) (also in agriculture)","1: Arbeiter/in (auch in der Landwirtschaft)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",2,"2: White-collar worker(Angestellte)","2: Angestellte/r"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",3,"3: Civil servant (including judges and professional soldiers)","3: Beamte/r (einschliesslich Richter und Berufssoldaten)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",4,"4: Self-employed (including family members working for the self-employed)","4: Selbstaendige/r (einschl. mithelfende Familienangehoerige)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",5,"5: apprentices / trainees / interns","5: Auszubildende und Praktikanten"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0700",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0700",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0705",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0705",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0705",999,"999: no contractually defined working hours","999: keine festgelegte Arbeitszeit"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0800",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0800",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0800",97,"97: not employed until now","97: hatte noch keine Stelle"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0801",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0801",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0801",9997,"9997: not employed until now","9997: hatte noch keine Stelle"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",1,"1: shutdown of company/closure of department","1: wegen Betriebsstilllegung/Aufloesung der Dienststelle"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",2,"2: dismissal/dissolution contract at one's own request","2: durch eigene Kuendigung/Aufloesungsvertrag auf eigenen Wunsch"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",3,"3: dismissal/dissolution contract at employers request","3: durch Kuendigung von Seiten des Arbeitgebers/Aufloesungsvertrag auf Wunsch des Arbeitgebers"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",4,"4: end of temporary employment or apprenticeship","4: befristete Beschaeftigung oder Ausbildung war beendet"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",5,"5: reach of age limit/retirement age/pensionable age","5: erreichen der Altersgrenze/Rente/Pension"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0804",6,"6: cessation of self-employment/business","6: Aufgabe der selbstaendigen Taetigkeit/des Geschaefts"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0889",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0889",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0889",97,"97: not employed until now","97: hatte noch keine Stelle"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",1,"1: married, cohabitating","1: verheiratet, mit Ehepartner zusammenlebend"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",2,"2: married, living permanently apart","2: verheiratet, dauerhaft getrennt lebend"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",3,"3: registered same-sex partnership, cohabitating with partner","3: eingetragene gleichgeschlechtliche Lebenspartnerschaft, mit Partner zusammenlebend"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",4,"4: registered same-sex partnership, living permanently apart","4: eingetragene gleichgeschlechtliche Lebenspartnerschaft, dauerhaft getrennt lebend"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",5,"5: single","5: ledig"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",6,"6: divorced/seperated","6: geschieden/entpartnert"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam",7,"7: widowed/bereaved","7: verwitwet/partnerhinterblieben"
