"study","questionnaire","question","item","number","concept","text","text_de","instruction","instruction_de","answer_list","scale","filter","goto","label","template.id","range","scripternotes","old.template.id","dataset","var_fix","description","description_de"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411",,31,,"Are you currently in paid employment? Which of the following applies best to your employment status? Pensioners with an employment contract are regarded as employed here.","Ueben Sie derzeit eine Erwerbstaetigkeit aus? Was trifft fuer Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstaetig. Explizite Schueler-/Studentenjobs gelten als erwerbstaetig.",,,,"txt",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","1",32,,"Full-time employment","Voll erwerbstaetig",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","2",33,,"Employed on a part-time basis","In Teilzeitbeschaeftigung",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","3",34,,"In-company training/apprenticeship or vocational retraining","In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","4",35,,"Marginally employed, in mini-jobs, one-Euro-jobs (when drawing unemployment benefit type 2)","Geringfuegig erwerbstaetig; Mini Job; Ein-Euro-Job, z.B. bei Bezug von Arbeitslosengeld 2",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","5",36,,"Occasionally or irregularly employed","Gelegentlich oder unregelmaessig beschaeftigt",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","6",37,,"Voluntary military service","Freiwilliger Wehrdienst",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","7",38,,"Voluntary social/ecological year, German federal volunteer service","Freiwilliges soziales/oekologisches Jahr, Bundesfreiwilligendienst",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","8",39,,"In early retirmenet with zero working hours","In Altersteilzeit mit Arbeitszeit Null",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","9",40,,"In (early) retirement, disabled","Vorruhestaendler, Rentner, erwerbsunfaehig",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","10",41,,"Not gainfully employed","Nicht erwerbstaetig",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0411","11",42,,"Other: *open","Sonstiges, und zwar:",,,"mn","cat",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0401",,43,,"Are you currently in paid employment? Which of the following applies best to your employment status? Pensioners with an employment contract are regarded as employed here.","Ueben Sie derzeit eine Erwerbstaetigkeit aus? Was trifft fuer Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstaetig. Explizite Schueler-/Studentenjobs gelten als erwerbstaetig.",,,,"chr","emp0421 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0500",,44,,"What is your current job?","Welche berufliche Taetigkeit ueben Sie derzeit aus?",,,,"chr","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0598",,45,,"What is your current job?","Welche berufliche Taetigkeit ueben Sie derzeit aus?",,,"mn","cat","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0600",,46,,"What is your current occupational status?","In welcher beruflichen Stellung sind Sie derzeit beschaeftigt?",,,"emp0600","cat","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750",,47,,"What is your current employment relationship?","In welchem Beschaeftigungsverhaeltnis befinden Sie sich zurzeit? Wenn mehrere Punkte der Liste zutreffen, geben Sie bitte alle an.",,,,"txt","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750","1",48,,"Work temporarily or on contractual basis","Zeit- oder Leiharbeitsverhaeltnis",,,"mn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750","2",49,,"Permanent employment contract","Unbefristeter Arbeitsvertrag",,,"mn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750","3",50,,"Fixed-term employment contract","Befristeter Arbeitsvertrag",,,"mn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750","4",51,,"Does not apply","Trifft nicht zu",,,"mn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0750","5",52,,"Do not know","Weiss nicht",,,"mn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0700",,53,,"When did you start working for your current employer? If you are self-employed, please tell when you started working in your current occupation.","Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschaeftigt? Falls Sie Selbstaendiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Taetigkeit ausueben.",,,"emp0700","int","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0701",,54,,"When did you start working for your current employer? If you are self-employed, please tell when you started working in your current occupation.","Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschaeftigt? Falls Sie Selbstaendiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Taetigkeit ausueben.",,,"mis","int","emp0411 == 1 | emp0412 == 1 | emp0413 == 1 | emp0414 == 1 | emp0415 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
