study_name,questionnaire_name,question_name,item,number,concept,text,text_de,instruction,instruction_de,answer_list,scale,filter,goto,label,variable_description,variable_description_de,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,answer_list_name,item_name
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0100,,28,,Have you done paid work during the last 7 days, even if only for an hour or a few hours?,Haben Sie waehrend der letzten 7 Tage irgendeine bezahlte Arbeit ausgeuebt, auch wenn dies nur fuer eine Stunde oder fuer wenige Stunden war?,,,yn,cat,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0200,,29,,Are you currently on maternity leave (Mutterschutz) or on statutory parental leave (Elternzeit)?,Sind Sie zurzeit im Mutterschutz oder in der gesetzlich geregelten Elternzeit?,,,emp0200,cat,,,,,,,,,,,,,,,,,,emp0200,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0300,,30,,Are you officially registered unemployed at the Federal Employment Agency (Agentur fuer Arbeit)?,Sind Sie zurzeit beim Arbeitsamt arbeitslos gemeldet?,,,yn,cat,,,,,,,,,,,,,,,,,,yn,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0300,,31,,Are you currently in education or training? In other words, are you attending a school or institution of higher education (including doctorate / Ph.D.), completing an apprenticeship or vocational training, or participating in further education or training?,Sind Sie derzeit in Ausbildung? Das heisst: Besuchen Sie eine Schule oder Hochschule (einschliesslich Promotion), machen Sie eine Berufsausbildung oder nehmen Sie an einem Weiterbildungslehrgang teil?,,,yn,cat,,,,,,,,,,,,,,sind sie derzeit in ausbildung? das heisst: besuchen sie eine schule oder hochschule (einschliesslich promotion),
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0301,,32,,What type of education or training are you pursuing?,Was fuer eine Ausbildung oder Weiterbildung ist das genau?,,,edu0301,cat,edu0300 == 1,,,,,,,,,,,,,,,,,edu0301,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0307,,33,,What type of vocational training are you pursuing?,Was fuer eine berufliche Ausbildung ist das?,,,edu0307,cat,edu0301 == 2,,,,,,,,,,,,,,,,,edu0307,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0308,,34,,What type of vocational training are you pursuing?,Was fuer eine berufliche Ausbildung ist das?,,,,chr,edu0307 == 9,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0303,,35,,What type of higher education are you pursuing?,Was fuer eine Hochschulausbildung ist das?,,,edu0303,cat,edu0301 == 3,,,,,,,,,,,,,,,,,edu0303,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0304,,36,,What type of higher education are you pursuing?,Was fuer eine Hochschulausbildung ist das?,,,,chr,edu0303 == 4,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0305,,37,,What type of further training/retraining are you pursuing?,Was fuer eine Weiterbildung/Umschulung ist das?,,,edu0305,cat,edu0301 == 4,,,,,,,,,,,,,,,,,edu0305,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,edu0306,,38,,What type of further training/retraining are you pursuing?,Was fuer eine Weiterbildung/Umschulung ist das?,,,,chr,edu0305 == 5,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0400,,39,,Are you currently engaged in paid employment? Which of the following applies best to your status? Pensioners with employment contract are regarded as employed here.,Ueben Sie derzeit eine Erwerbstaetigkeit aus? Was trifft fuer Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstaetig.,,,emp0400,cat,,,,,,,,,,,,,,,,,,emp0400,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0401,,40,,Are you currently engaged in paid employment? Which of the following applies best to your status? Pensioners with employment contract are regarded as employed here.,Ueben Sie derzeit eine Erwerbstaetigkeit aus? Was trifft fuer Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstaetig.,,,,chr,emp0400 == 11,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0500,,41,,What is your current position / occupation?,Welche berufliche Taetigkeit ueben Sie derzeit aus?,,,,chr,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0600,,42,,What is your current occupational status?,In welcher beruflichen Stellung sind Sie derzeit beschaeftigt?,,,emp0600,cat,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,emp0600,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,,43,,What is your current employment relationship?,In welchem Beschaeftigungsverhaeltnis befinden Sie sich zurzeit?,,,mn,txt,emp0400 >= 1 & emp0400 <= 5 & emp0600 != 4,,,,,,,,,,,,,,,,,mn,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,1.0,44,,employment relationship: contingent work (alteri),Zeit- oder Leiharbeitsverhaeltnis,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,2.0,45,,employment relationship: permanent contract (alteri),Unbefristeter Arbeitsvertrag,,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,3.0,46,,employment relationship: fixed-term contract (alteri),Befristeter Arbeitsvertrag,,,mn,cat,,,,,,,,,,,,,,,,,,mn,3.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,4.0,47,,employment relationship: doesn't apply (alteri),Trifft nicht zu,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,5.0,48,,employment relationship: don't know (alteri),Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0750,6.0,49,,employment relationship: not specified (refused to answer) (alteri),Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0700,,50,,When did you start working for your current employer? If you are self-employed, please tell when you started working in your current occupation.,Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschaeftigt? Falls Sie Selbstaendiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Taetigkeit ausueben.,,,emp0700,int,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,, seit wann sie ihre jetzige taetigkeit ausueben.,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0701,,51,,When did you start working for your current employer? If you are self-employed, please tell when you started working in your current occupation.,Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschaeftigt? Falls Sie Selbstaendiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Taetigkeit ausueben.,,,mis,int,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,, seit wann sie ihre jetzige taetigkeit ausueben.,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0705,,52,,How many hours are stipulated in your contract per week excluding overtime?,Wie viele Wochenstunden betraegt Ihre vereinbarte Arbeitszeit ohne Ueberstunden?,,,mis,dec,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,mis,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,,53,,What type of education or training is usually required for your type of work?,Welche Art von Ausbildung ist fuer Ihre Taetigkeit in der Regel derzeit erforderlich?,,,mn,txt,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,mn,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,1.0,54,,required training for profession: no formal educational qualification,Kein beruflicher Ausbildungsabschluss,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,2.0,55,,required training for profession: completed vocational training,Eine berufliche Ausbildung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,3.0,56,,required training for profession: leaving certificate from a AUS,Ein abgeschlossenes Fachhochschulstudium,,,mn,cat,,,,,,,,,,,,,,,,,,mn,3.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,4.0,57,,required training for profession: leaving certificate from university,Ein abgeschlossenes Universitaets- oder Hochschulstudium,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,5.0,58,,required training for profession: do not know,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0900,6.0,59,,required training for profession: not specified (refused to answer),Erforderliche Ausbildung fuer Beruf: Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp1100,,60,,How likely do you think it is that you might lose your job in the following two years?,Fuer wie wahrscheinlich halten Sie es, dass Sie in den kommenden zwei Jahren den Arbeitsplatz verlieren?,,,pr5,cat,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0102,,61,,If you can't or do not wish to give an amount, then please indicate in which income group your monthly gross income can be classified.,Wenn Sie einen exakten Betrag nicht nennen koennen oder wollen, dann geben Sie bitte an, in welche Einkommenskategorie Ihr durchschnittliches monatliches Bruttoeinkommen eingeordnet werden kann.,,,inc0102,cat,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,, in welche einkommenskategorie ihr durchschnittliches monatliches bruttoeinkommen eingeordnet werden kann.,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0500,,62,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,txt,emp0400 >= 1 & emp0400 <= 5,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0500,1.0,63,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,cat,,,,,,,,,,,,,,,,,,1.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0501,2.0,64,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,cat,,,,,,,,,,,,,,,,,,2.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0502,3.0,65,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,cat,,,,,,,,,,,,,,,,,,3.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0503,4.0,66,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,cat,,,,,,,,,,,,,,,,,,4.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,spa0504,5.0,67,,Please estimate to what extent the following statements apply to you.,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft.,,,apl5_3,cat,,,,,,,,,,,,,,,,,,5.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,imo0600,,68,,Please estimate to what extent the following statements apply to you. It is important for me in the context of my professional work ﾅ,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft. Mir ist es wichtig, im Rahmen meiner beruflichen Taetigkeit ﾅ,,,apl5_3,txt,(emp0400 >= 1 & emp0400 <= 5) | edu0100 == 1 | (emp0200 >= 1 & emp0200 <= 3),,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,imo0600,1.0,69,,Please estimate to what extent the following statements apply to you. It is important for me in the context of my professional work ﾅ,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft. Mir ist es wichtig, im Rahmen meiner beruflichen Taetigkeit ﾅ,,,apl5_3,cat,,,,,,,,,,,,,,,,,1.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,imo0601,2.0,70,,Please estimate to what extent the following statements apply to you. It is important for me in the context of my professional work ﾅ,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft. Mir ist es wichtig, im Rahmen meiner beruflichen Taetigkeit ﾅ,,,apl5_3,cat,,,,,,,,,,,,,,,,,2.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,imo0602,3.0,71,,Please estimate to what extent the following statements apply to you. It is important for me in the context of my professional work ﾅ,Bitte schaetzen Sie ein, wie gut jede der folgenden Aussagen auf Sie zutrifft. Mir ist es wichtig, im Rahmen meiner beruflichen Taetigkeit ﾅ,,,apl5_3,cat,,,,,,,,,,,,,,,,,3.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0800,,72,,When did you leave your last job?,Wann haben Sie bei Ihrer letzten Stelle aufgehoert zu arbeiten?,,,emp0800,int,emp0300 == 1 | emp0400 == -99,,,,,,,,,,,,,,,,,emp0800,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0801,,73,,When did you leave your last job?,Wann haben Sie bei Ihrer letzten Stelle aufgehoert zu arbeiten?,,,emp0801,int,emp0300 == 1 | emp0400 == -99,,,,,,,,,,,,,,,,,emp0801,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,emp0804,,74,,How did that job end?,Auf welche Weise wurde diese Beschaeftigung beendet?,,,emp0804,cat,(emp0300 == 1 | emp0400 == -99) & emp0800 != 97,,,,,,,,,,,,,,,,,emp0804,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,,75,,Do you or does another member of your household receive one of the following benefits?,Erhalten Sie oder ein anderes Haushaltsmitglied derzeit eine der folgenden staatlichen Leistungen?,,,mn,txt,,,,,,,,,,,,,,,,,,mn,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,1.0,76,,public services in household: child benefit,Kindergeld,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,2.0,77,,public services in household: children's allowance,Kinderzuschlag, also zusaetzlich zum Kindergeld beantragte Leistung fuer Geringverdiener,,,mn,cat,,,,,,,,,,,,,,,,,,2.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,3.0,78,,public services in household: parental benefit,Elterngeld,,,mn,cat,,,,,,,,,,,,,,,,,,mn,3.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,4.0,79,,public services in household: continued pay in maternity leave,Lohnfortzahlung im Mutterschutz,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,5.0,80,,public services in household: short-time working allowance,Kurzarbeitergeld,,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,6.0,81,,public services in household: unemployment benefit type I,Arbeitslosengeld ALG I,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,7.0,82,,public services in household: unemployment benefit type II,Arbeitslosengeld II einschliesslich Sozialgeld und Unterkunftskosten,,,mn,cat,,,,,,,,,,,,,,,,,,mn,7.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,8.0,83,,public services in household: subsistence allowance,Laufende Hilfe zum Lebensunterhalt oder Hilfe in besonderen Lebenslagen,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,9.0,84,,publ. serv. in hh: provision in old age or given reduced earning capacity,Grundsicherung im Alter und bei Erwerbsminderung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,9.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,10.0,85,,publ. serv. in hh: housing allowance apart from unempl. benefit type II,Wohngeld oder Lastenzuschuss, die nicht im Arbeitslosengeld II oder der Sozialhilfe enthalten sind,,,mn,cat,,,,,,,,,,,,,,,,,,10.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,11.0,86,,public services in household: other social allowances,Sonstige Sozialhilfe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,11.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,12.0,87,,public services in household: nursing care insurance services,Leistungen der Pflegeversicherung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,12.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,13.0,88,,public services in household: child care subsidy,Betreuungsgeld,,,mn,cat,,,,,,,,,,,,,,,,,,mn,13.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,14.0,89,,public services in household: alimony payment for children,Gesetzliche Unterhaltszahlungen fuer Kinder,,,mn,cat,,,,,,,,,,,,,,,,,,mn,14.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,15.0,90,,publ. serv. in hh: alimony payment by former partner (not for children),Gesetzliche Unterhaltszahlungen von ehemaligem/r Partner/in (nicht fuer Kinder),,,mn,cat,,,,,,,,,,,,,,,,,,mn,15.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,16.0,91,,public services in household: retirement pension,Rente,,,mn,cat,,,,,,,,,,,,,,,,,,mn,16.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,17.0,92,,public services in household: sick allowance,Krankengeld,,,mn,cat,,,,,,,,,,,,,,,,,,mn,17.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,18.0,93,,public services in household: alimony advance,Unterhaltsvorschuss,,,mn,cat,,,,,,,,,,,,,,,,,,mn,18.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,19.0,94,,public services in household: other allowances,Sonstiges,,,mn,cat,,,,,,,,,,,,,,,,,,mn,19.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,20.0,95,,public services in household: none,Weder ich noch ein anderes Haushaltsmitglied erhalten eine dieser staatlichen Leistungen.,,,mn,cat,,,,,,,,,,,,,,,,,,mn,20.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,21.0,96,,public services in household: do not know,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,21.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,inc0300,22.0,97,,public services in household: not specified (refused to answer),Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,22.0
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,eca0800,,98,,Will you attempt a (further) professional training qualification or university qualification?,Streben Sie in der Zukunft einen (weiteren) beruflichen Ausbildungsabschluss oder Hochschulabschluss an? Wenn mehrere Abschluesse angestrebt werden, dann bitte den hoechsten Abschluss angeben.,,,eca0800,cat,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig0100,,99,,Could you please tell us in which country you were born? Please tell me what the name of the country is today.,Im Folgenden geht es um Ihre Herkunft. Wuerden Sie uns bitte sagen, in welchem Land Sie geboren wurden? Bitte nennen Sie mir das Land, so wie es heute bezeichnet wird.,,,mig,cat,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig0101,,100,,Could you please tell us in which country you were born? Please tell me what the name of the country is today.,Im Folgenden geht es um Ihre Herkunft. Wuerden Sie uns bitte sagen, in welchem Land Sie geboren wurden? Bitte nennen Sie mir das Land, so wie es heute bezeichnet wird.,,,,chr,mig0100 == 14,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig0200,,101,,Since when have you been living in Germany?,Seit wann leben Sie in Deutschland? Bitte geben Sie das Jahr an.,,,mis,int,mig0100 != 1 & mig0100 != 2,,,,,,,,,,,,,,,,,mis,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig1000,,102,,Was your father or mother born in another country than Germany (or the GDR)?,Wurde Ihr Vater oder Ihre Mutter in einem anderen Land als Deutschland (oder der DDR) geboren?,,,yn,cat,always asked,,,,,,,,,,,,,,,,,yn,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig1001,,103,,Was your father or mother born in another country than Germany (or the GDR)?,Wurde Ihr Vater oder Ihre Mutter in einem anderen Land als Deutschland (oder der DDR) geboren?,,,,chr,mig1000 == 1,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mig1002,,104,,Was your father or mother born in another country than Germany (or the GDR)?,Wurde Ihr Vater oder Ihre Mutter in einem anderen Land als Deutschland (oder der DDR) geboren?,,,yn,cat,always asked,,,,,,,,,,,,,,,,,yn,
