study_name,dataset_name,variable_name,label,label_de,concept_name,questionnaire,question,item,description,description_de,description_long
twinlife,za6701_person_v3-0-0,aas0400t,,Ausserschulische Aktivitaeten Z1: AGs,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,4.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0400u,,Ausserschulische Aktivitaeten Z2: AGs,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,4.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0500s,,Ausserschulische Aktivitaeten Geschwister: Freizeitangebote,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,5.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0500t,,Ausserschulische Aktivitaeten Z1: Freizeitangebote,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,5.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0500u,,Ausserschulische Aktivitaeten Z2: Freizeitangebote,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,5.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0600s,,Ausserschulische Aktivitaeten Geschwister: Projekttage,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,6.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0600t,,Ausserschulische Aktivitaeten Z1: Projekttage,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,6.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0600u,,Ausserschulische Aktivitaeten Z2: Projekttage,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,6.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0700s,,Ausserschulische Aktivitaeten Geschwister: Dauerprojekte,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,7.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0700t,,Ausserschulische Aktivitaeten Z1: Dauerprojekte,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,7.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas0700u,,Ausserschulische Aktivitaeten Z2: Dauerprojekte,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,7.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9700s,,Ausserschulische Aktivitaeten Geschwister: Keine,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,8.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9700t,,Ausserschulische Aktivitaeten Z1: Keine,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,8.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9700u,,Ausserschulische Aktivitaeten Z2: Keine,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,8.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9800s,,Ausserschulische Aktivitaeten Geschwister: Weiss nicht,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,9.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9800t,,Ausserschulische Aktivitaeten Z1: weiss nicht,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,9.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,aas9800u,,Ausserschulische Aktivitaeten Z2: weiss nicht,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,9.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf),
twinlife,za6701_person_v3-0-0,acc0100,,Aktivitaeten mit Familienmitglied: Singen oder musizieren,,twinlife-2014-F2F_Modul4_CASI,acc0100,1.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acc0101,,Aktivitaeten mit Familienmitglied: Buecher lesen o. darueber unterhalten,,twinlife-2014-F2F_Modul4_CASI,acc0100,2.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acc0102,,Aktivitaeten mit Familienmitglied: Sport,,twinlife-2014-F2F_Modul4_CASI,acc0100,3.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acc0103,,"Aktivitaeten mit Familienmitglied: Spaziergaenge, Ausfluege",,twinlife-2014-F2F_Modul4_CASI,acc0100,4.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acc0104,,"Aktivitaeten mit Familienmitglied: Theater, Museum, Ausstellung, u.ae.",,twinlife-2014-F2F_Modul4_CASI,acc0100,5.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0100s,,Aktivitaeten mit Geschwister: Singen oder musizieren,,twinlife-2014-F2F_Modul4_CASI,acp0100s,1.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0100t,,Aktivitaeten mit Zwilling 1: Singen oder musizieren,,twinlife-2014-F2F_Modul4_CASI,acp0100t,1.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0100u,,Aktivitaeten mit Zwilling 2: Singen oder musizieren,,twinlife-2014-F2F_Modul4_CASI,acp0100u,1.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0101s,,Aktivitaeten mit Geschwister: Buecher oder Geschichten vorlesen,,twinlife-2014-F2F_Modul4_CASI,acp0100s,2.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0101t,,Aktivitaeten mit Zwilling 1: Buecher oder Geschichten vorlesen,,twinlife-2014-F2F_Modul4_CASI,acp0100t,2.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0101u,,Aktivitaeten mit Zwilling 2: Buecher oder Geschichten vorlesen,,twinlife-2014-F2F_Modul4_CASI,acp0100u,2.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0102s,,Aktivitaeten mit Geschwister: Sport,,twinlife-2014-F2F_Modul4_CASI,acp0100s,3.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0102t,,Aktivitaeten mit Zwilling 1: Sport,,twinlife-2014-F2F_Modul4_CASI,acp0100t,3.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0102u,,Aktivitaeten mit Zwilling 2: Sport,,twinlife-2014-F2F_Modul4_CASI,acp0100u,3.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0103s,,"Aktivitaeten mit Geschwister: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,twinlife-2014-F2F_Modul4_CASI,acp0100s,4.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0103t,,"Aktivitaeten mit Zwilling 1: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,twinlife-2014-F2F_Modul4_CASI,acp0100t,4.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,acp0103u,,"Aktivitaeten mit Zwilling 2: Spielplatz, Spaziergaenge, Ausfluege, u.ae.",,twinlife-2014-F2F_Modul4_CASI,acp0100u,4.0,,Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 2 2009/2010 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_2_2009-10.pdf),
twinlife,za6701_person_v3-0-0,asc0100,,Akad. Selbstkonzept: Bist du gut im Lesen?,,twinlife-2014-F2F_Modul3_Basismodul,asc0100,1.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0101,,Akad. Selbstkonzept: Kennst du viele Buchstaben vom Alphabet?,,twinlife-2014-F2F_Modul3_Basismodul,asc0100,2.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0102,,Akad. Selbstkonzept: Kennst du viele verschiedene Woerter?,,twinlife-2014-F2F_Modul3_Basismodul,asc0100,3.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0103,,Akad. Selbstkonzept: Kannst du gut die Uhr lesen?,,twinlife-2014-F2F_Modul3_Basismodul,asc0103,1.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0104,,Akad. Selbstkonzept: Kennst du viele verschiedene Formen?,,twinlife-2014-F2F_Modul3_Basismodul,asc0103,2.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0105,,Akad. Selbstkonzept: Bist du gut im Zaehlen?,,twinlife-2014-F2F_Modul3_Basismodul,asc0103,3.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,asc0106,,Akad. Selbstkonzept: Kennst du viele Zahlen?,,twinlife-2014-F2F_Modul3_Basismodul,asc0103,4.0,,"Adaptiert von: Marsh, H. W., Ellis, L. A., & Craven, R. G. (2002). How do preschool children feel about themselves? Unraveling measurement and multidimensional self-concept structure. Developmental psychology, 38 (3), 376-393",
twinlife,za6701_person_v3-0-0,bdy0100,,"Koerpergroesse in cm (CASI: nicht Zwilling, Drop-Off/Alteri: alle)",,twinlife-2014-F2F_Alteri-OnlineFragebogen,bdy0100,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0100_bmi,,BMI: korrigiert (gen),,twinlife-2014-F2F_generatedvariables,bdy0100,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0100_dht,,Unterschied zwischen verschiedenen Groessenwerten (gen),,twinlife-2014-F2F_generatedvariables,bdy0100,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0100_hgt,,Groeße in cm: korrigiert (gen),,twinlife-2014-F2F_generatedvariables,bdy0100,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0100_nht,,Anzahl berichtete Groessenwerte (gen),,twinlife-2014-F2F_generatedvariables,bdy0100,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0100s,,Koerpergroesse in cm Geschwister,,twinlife-2014-F2F_Modul7_EueK,bdy0100s,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200,,Koerpergewicht in kg,,twinlife-2014-F2F_Alteri-Fragebogen,bdy0200,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200_dwt,,Unterschied zwischen verschiedenen Gewichtswerte (gen),,twinlife-2014-F2F_generatedvariables,bdy0200,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200_nwt,,Anzahl berichtete Gewichtswerte (gen),,twinlife-2014-F2F_generatedvariables,bdy0200,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200_wgt,,Gewicht in kg: korrigiert (gen),,twinlife-2014-F2F_generatedvariables,bdy0200,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200s,,Gewicht in kg Geschwister,,twinlife-2014-F2F_Modul7_EueK,bdy0200s,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200t,,Gewicht in kg Zwilling 1,,twinlife-2014-F2F_Modul7_EueK,bdy0200t,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,bdy0200u,,Gewicht in kg Zwilling 2,,twinlife-2014-F2F_Modul7_EueK,bdy0200u,,,Fuer TwinLife entwickeltes Item,
twinlife,za6701_person_v3-0-0,cai0100s,,Betreuungseinrichtung Geschwister (bis 3 Jahre): Gruppengroesse,,twinlife-2014-F2F_Modul6_Betreuung,cai0100s,,,"Early childhood education and care quality in the Socio-Economic Panel (K2ID-SOEP): K2ID Projekt Kinder und Kitas in Deutschland.
 ; [[URL link]](http://www.k2id.de/data/documentation-k2id-soep/)",
twinlife,za6701_person_v3-0-0,cai0100t,,Betreuungseinrichtung Z1 (bis 3 Jahre): Gruppengroesse,,twinlife-2014-F2F_Modul6_Betreuung,cai0100t,,,"Early childhood education and care quality in the Socio-Economic Panel (K2ID-SOEP): K2ID Projekt Kinder und Kitas in Deutschland.
 ; [[URL link]](http://www.k2id.de/data/documentation-k2id-soep/)",
twinlife,za6701_person_v3-0-0,cai0100u,,Betreuungseinrichtung Z2 (bis 3 Jahre): Gruppengroesse,,twinlife-2014-F2F_Modul6_Betreuung,cai0100u,,,"Early childhood education and care quality in the Socio-Economic Panel (K2ID-SOEP): K2ID Projekt Kinder und Kitas in Deutschland.
 ; [[URL link]](http://www.k2id.de/data/documentation-k2id-soep/)",
twinlife,za6701_person_v3-0-0,cai0200s,,Betreuungseinrichtung Geschwister (bis 3 Jahre): Anzahl Betreuer,,twinlife-2014-F2F_Modul6_Betreuung,cai0200s,,,"Early childhood education and care quality in the Socio-Economic Panel (K2ID-SOEP): K2ID Projekt Kinder und Kitas in Deutschland.
 ; [[URL link]](http://www.k2id.de/data/documentation-k2id-soep/)",
twinlife,za6701_person_v3-0-0,cai0200t,,Betreuungseinrichtung Z1 (bis 3 Jahre): Anzahl Betreuungspersonen,,twinlife-2014-F2F_Modul6_Betreuung,cai0200t,,,"Early childhood education and care quality in the Socio-Economic Panel (K2ID-SOEP): K2ID Projekt Kinder und Kitas in Deutschland.
 ; [[URL link]](http://www.k2id.de/data/documentation-k2id-soep/)",
