study_name,dataset_name,variable_name,instrument_name,question_name
twinlife,person,cai1300s,twinlife-2014-F2F_Modul6_Betreuung,cai1300s
twinlife,person,cai1300t,twinlife-2014-F2F_Modul6_Betreuung,cai1300t
twinlife,person,cai1300u,twinlife-2014-F2F_Modul6_Betreuung,cai1300u
twinlife,person,car0100s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0100t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0100u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0101s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0101t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0101u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0102s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0102t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0102u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0103s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0103t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0103u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0104s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0104t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0104u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0105s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0105t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0105u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0106s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0106t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0106u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0107s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0107t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0107u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0108s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0108t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0108u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0109s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0109t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0109u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0110s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0110t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0110u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0111s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0111t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0111u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0112s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0112t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0112u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0113s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0113t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0113u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0114s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0114t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0114u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0115s,twinlife-2014-F2F_Modul6_Betreuung,car0100s
twinlife,person,car0115t,twinlife-2014-F2F_Modul6_Betreuung,car0100t
twinlife,person,car0115u,twinlife-2014-F2F_Modul6_Betreuung,car0100u
twinlife,person,car0200s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0200t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0200u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0201s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0201t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0201u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0202s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0202t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0202u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0203s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0203t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0203u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0204s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0204t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0204u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0205s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0205t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0205u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0206s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0206t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0206u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0207s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0207t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0207u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0208s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0208t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0208u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0209s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0209t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0209u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0210s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0210t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0210u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0211s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0211t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0211u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0212s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0212t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0212u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0213s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0213t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0213u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0214s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0214t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0214u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0215s,twinlife-2014-F2F_Modul6_Betreuung,car0200s
twinlife,person,car0215t,twinlife-2014-F2F_Modul6_Betreuung,car0200t
twinlife,person,car0215u,twinlife-2014-F2F_Modul6_Betreuung,car0200u
twinlife,person,car0300s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0300t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0300u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0301s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0301t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0301u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0302s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0302t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0302u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0303s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0303t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0303u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0304s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0304t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0304u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0305s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0305t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0305u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0306s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0306t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0306u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0307s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0307t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0307u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0308s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0308t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0308u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0309s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0309t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0309u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0310s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0310t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0310u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0311s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0311t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0311u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0312s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0312t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0312u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0313s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0313t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0313u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0314s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0314t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0314u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0315s,twinlife-2014-F2F_Modul6_Betreuung,car0300s
twinlife,person,car0315t,twinlife-2014-F2F_Modul6_Betreuung,car0300t
twinlife,person,car0315u,twinlife-2014-F2F_Modul6_Betreuung,car0300u
twinlife,person,car0400s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0400t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0400u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0401s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0401t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0401u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0402s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0402t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0402u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0403s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0403t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0403u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0404s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0404t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0404u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0405s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0405t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0405u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0406s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0406t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0406u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0407s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0407t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0407u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0408s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0408t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0408u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0409s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0409t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0409u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0410s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0410t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0410u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0411s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0411t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0411u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0412s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0412t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0412u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0413s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0413t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0413u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0414s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0414t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0414u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0415s,twinlife-2014-F2F_Modul6_Betreuung,car0400s
twinlife,person,car0415t,twinlife-2014-F2F_Modul6_Betreuung,car0400t
twinlife,person,car0415u,twinlife-2014-F2F_Modul6_Betreuung,car0400u
twinlife,person,car0500s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0500t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0500u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0501s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0501t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0501u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0502s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0502t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0502u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0503s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0503t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0503u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0504s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0504t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0504u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0505s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0505t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0505u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0506s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0506t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0506u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0507s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0507t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0507u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0508s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0508t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0508u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0509s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0509t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0509u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0510s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0510t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0510u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0511s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0511t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0511u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0512s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0512t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0512u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0513s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0513t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0513u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0514s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0514t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0514u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0515s,twinlife-2014-F2F_Modul6_Betreuung,car0500s
twinlife,person,car0515t,twinlife-2014-F2F_Modul6_Betreuung,car0500t
twinlife,person,car0515u,twinlife-2014-F2F_Modul6_Betreuung,car0500u
twinlife,person,car0600s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0600t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0600u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0601s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0601t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0601u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0602s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0602t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0602u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0603s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0603t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0603u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0604s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0604t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0604u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0605s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0605t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0605u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0606s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0606t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0606u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0607s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0607t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0607u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0608s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0608t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0608u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0609s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
twinlife,person,car0609t,twinlife-2014-F2F_Modul6_Betreuung,car0600t
twinlife,person,car0609u,twinlife-2014-F2F_Modul6_Betreuung,car0600u
twinlife,person,car0610s,twinlife-2014-F2F_Modul6_Betreuung,car0600s
